mpid,formula
mp-1018050,Cr1C1
mp-1018051,K3Ti3S6
mp-1018052,Ho2Fe2C4
mp-1018053,In2Cu2
mp-1018055,Hf2Ir2
mp-1018056,Hf4Ni4
mp-1018057,Hf4Be4
mp-1018059,Ga2Sb2
mp-1018060,Ga2Co4Ni2
mp-1018062,Fe2Sn2Rh4
mp-1018064,Er2Fe2C4
mp-1018065,Dy2Fe2C4
mp-1018066,Cr2Sn2Rh4
mp-1018067,Cr4Fe12
mp-1018068,Cr4Fe8Si4
mp-1018070,Ti8In4Fe4
mp-1018072,K3Ti3S6
mp-1018073,Ho4Ga4
mp-1018075,Fe2Se2
mp-1018076,Ga2Bi1As1
mp-1018077,Er4Ga4
mp-1018081,Cr1Fe3
mp-1018082,Cr4Co8Sb4
mp-1018083,Cr1Cd1Te2
mp-1018084,Cr3Ag3Te6
mp-1018085,Co2Sn2Rh4
mp-1018086,Ce4Pd4
mp-1018087,Ce4Au4
mp-1018090,Ca1Ga1Si1H1
mp-1018091,Ca1Ga1Sn1H1
mp-1018093,Ca1Ga1Ge1H1
mp-1018094,Ba1Ga1Sn1H1
mp-1018095,Ba1Ga1Ge1H1
mp-1018096,Ba6N3F3
mp-1018097,Ba1Ca1O2
mp-1018098,Ba6Br3N3
mp-1018099,Ba6N3Cl3
mp-10181,Li4Si4Ni8
mp-1018100,Al2Sb2
mp-1018101,Al1Co3
mp-1018102,Zr2Pd4
mp-1018103,Zr2Au4
mp-1018104,Zr4Cd2
mp-1018105,Zr4Zn2
mp-1018106,Yb4Bi4Pt4
mp-1018107,Zr1Te2
mp-1018113,Y2Au4
mp-1018115,Pb4S4
mp-1018116,Nb1In1Se2
mp-1018117,Ce4Rh4
mp-1018118,Tm4Sb4Pd4
mp-1018120,Tm2Sb4
mp-1018121,Ti2Pd4
mp-1018123,Ti2Au4
mp-1018124,Ti4Rh2
mp-1018125,Ti2Re1
mp-1018127,Tb2Sb4
mp-1018128,Sc2Ag4
mp-1018129,Pt4W2
mp-1018130,Pa2C4
mp-1018131,Lu2Ag4
mp-1018132,Al4Bi4
mp-1018133,Li1H1Pd1
mp-1018138,V1I2
mp-1018140,Mg1Ni1
mp-1018141,Ba3C6
mp-1018145,Mn4Sn4
mp-1018146,Gd2Co2C4
mp-1018147,Eu4Pd4
mp-1018148,Sc2Au4
mp-1018149,Sc2Cu4
mp-1018150,Nb1Te2
mp-1018151,Nb2Pd4
mp-1018152,Lu2Au4
mp-1018153,Hf2Au4
mp-1018154,Hf4Hg2
mp-1018155,Mn4Sn4
mp-1018156,Hf4Cd2
mp-1018158,Dy2Sb4
mp-1018159,Er2Sb4
mp-1018165,Pt4C4
mp-1018166,Al2Tc4
mp-1018175,Th4Au4
mp-1018176,Gd2Fe2C4
mp-1018177,Eu2C4
mp-1018178,Ba4Zn2
mp-1018179,Al2Au4
mp-1018275,Ga6P6
mp-10185,Mg3Zn1C1
mp-10186,Pu1Si2
mp-1018631,Dy1Cu2S2
mp-1018632,Ho1Cu2S2
mp-1018634,Lu1Cu2S2
mp-1018640,Tm1Cu2S2
mp-1018642,Y1Cu2S2
mp-1018648,Au2N4
mp-1018649,B1C5
mp-1018651,Ba2H3I1
mp-1018652,K2Cd2Sb2
mp-1018653,Ba2Mg2Pb2
mp-1018654,Ba2Mg2Sn2
mp-1018655,C2N4
mp-1018657,Ca2Bi2Au2
mp-1018658,Ca2Co2Si2
mp-1018660,Ce2Co2Si2
mp-1018661,Ce2Pb2Au2
mp-1018662,Ce2Sb2Pd2
mp-1018663,Ce2S4
mp-1018664,Ce2O4
mp-1018665,Ce2Se4
mp-1018666,Ce1Si2Mo2C1
mp-1018668,Ce2Tl2Cd2
mp-1018671,Ce2Zn2Ga2
mp-1018672,Co2As4
mp-1018673,Co2P2Pd2
mp-1018675,Dy2S4
mp-1018676,Ce2Sb2Au2
mp-1018678,Cs3H3S3O9
mp-1018680,Dy2Tl2Zn2
mp-1018681,Dy2Zn2In2
mp-1018682,Dy2Zn2Ga2
mp-1018683,Dy2Se4
mp-1018684,Er2Mg3Ru1
mp-1018685,Er2Cu2Sn2
mp-1018686,Er2H4
mp-1018687,Er2S4
mp-1018688,Er2Tl2Zn2
mp-1018689,Er2Zn2In2
mp-1018690,Er2Zn2Ga2
mp-1018691,Eu2H3Br1
mp-1018695,Eu2Bi2Au2
mp-1018696,Eu2Cd2Pb2
mp-1018697,Eu2Cd2Sn2
mp-1018698,Eu2Hg2Pb2
mp-1018699,Eu2Zn2Ge2
mp-10187,Te2Ir2
