mpid,formula
mp-1025238,Tm2Ti4Ga8
mp-1025240,Dy4Re4Si4C2
mp-1025241,Sc1Ga5Fe1
mp-1025245,La4Re4Si4C2
mp-1025246,Er4B8C2
mp-1025248,Tl1Pd5Se1
mp-1025249,Sm4Re4Si4C2
mp-1025250,Rh2F12
mp-1025253,Tb2Ti4Ga8
mp-1025257,Tm1Ga5Co1
mp-1025261,Mg1P1Pd5
mp-1025264,U4W4C6
mp-1025269,Ti4Co2S8
mp-1025270,Ga1P1Pt5
mp-1025271,Al1P1Pt5
mp-1025272,Zn1P1Pt5
mp-1025275,Ce4Al2N2O6
mp-1025276,Sm4Al2N2O6
mp-1025277,Pr4Al2N2O6
mp-1025279,Ti2Cr4Se8
mp-1025281,Ti4Ni2Se8
mp-1025282,Ti2V4Te8
mp-1025283,Pr1In5Rh1
mp-1025285,Ce4Re4Si4C2
mp-1025289,Ce4Fe4Si4C2
mp-1025291,Ti2Nb4Se8
mp-1025293,In1As1Pd5
mp-1025294,Cd1As1Pd5
mp-1025296,Sn1P1Pd5
mp-1025297,Sm1C6
mp-1025301,Ga1P1Pd5
mp-1025302,Hg1P1Pd5
mp-1025309,Pr2Re8Si4
mp-1025311,Cd1As1Pt5
mp-1025312,Mn1Nb2S4
mp-1025313,Ti1Ga5Ni1
mp-1025315,Mn2Al4Te8
mp-1025319,Nd4Pd2O8
mp-1025320,Ho4Re4Si4C2
mp-1025321,Rb4Cr2Br4Cl4
mp-1025322,V2Co4Se8
mp-1025324,Si1Sn1Pt5
mp-1025325,Np1Ga5Co1
mp-1025329,Tl1Si1Pt5
mp-1025335,Lu2Ti4Ga8
mp-1025341,Si4Ni2Se8
mp-1025343,Mn2N4Cl8
mp-1025347,Ti4Co2Se8
mp-1025348,Tl1P1Pd5
mp-1025350,Nb2Co1S4
mp-1025352,Ce2C1N2O2
mp-1025353,Tl1As1Pt5
mp-1025355,Zr1Ga5Co1
mp-1025358,Er2Al8Mo4
mp-1025359,Fe2Ni4Se8
mp-1025360,Na4Ti4As4O2
mp-1025361,Gd4Re4Si4C2
mp-1025362,Er4Re4Si4C2
mp-1025364,Dy2Ti4Ga8
mp-1025365,Sc2V4Ga8
mp-1025370,In1Si1Pt5
mp-1025372,Y4Cr4C6
mp-1025374,Re2F12
mp-1025379,Tb4B8C2
mp-1025380,Cr4Fe2Te8
mp-1025382,Th4Fe4Si4C2
mp-1025383,Tl1P1Pt5
mp-1025384,Pr4Re4Si4C2
mp-1025385,Ag1P1Pt5
